필드명,설명,코드값
QOQ_R3M_ITRT_FIN_ASSET_CS,직전분기대비_금융_자산관리_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_FIN_STOCK_CS,직전분기대비_금융_증권_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_HEALTH_CS,직전분기대비_생활_건강/운동/의료_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_DELIVERY_CS,직전분기대비_생활_배달/식음료_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_HOUSE_CS,직전분기대비_생활_부동산_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_MOVE_CS,직전분기대비_생활_이사/인테리어_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_CAR_CS,직전분기대비_생활_카라이프_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_KIDS_CS,직전분기대비_생활_키즈_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LIFE_BEAUTY_CS,직전분기대비_생활_뷰티_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_SHOP_MART_CS,직전분기대비_쇼핑_백화점/대형마트/면세점_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_SHOP_SOCIAL_CS,직전분기대비_쇼핑_소셜커머스_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_SHOP_OPEN_CS,직전분기대비_쇼핑_오픈마켓_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_SHOP_BEAUTY_CS,직전분기대비_쇼핑_패션/뷰티_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_SHOP_JIKGU_CS,직전분기대비_쇼핑_해외직구_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LEISURE_SPORT_CS,직전분기대비_레저_스포츠_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LEISURE_TRAVEL_CS,직전분기대비_레저_여행_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_LEISURE_HOTEL_CS,직전분기대비_레저_호텔/숙박_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_ENT_SVOD_CS,직전분기대비_엔터_sVOD_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_ENT_BROADCAST_CS,직전분기대비_엔터_동영상/방송_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
