No,필드명,설명,코드여부,타입
219,R6M_E_COMM_AMT,최근6개월_전자상거래_이용금액,N,Int
220,R6M_DLV_AMT,최근6개월_배달앱_이용금액,N,Int
221,R6M_HOTEL_AMT,최근6개월_특급호텔_이용금액,N,Int
222,R6M_JJ_AMT,최근6개월_제주도지역_이용금액,N,Int
223,R6M_TRAVEL_OS_AMT,최근6개월_해외여행_이용금액,N,Int
224,R6M_STARBUCKS_AMT,최근6개월_스타벅스_이용금액,N,Int
225,R6M_E_CHARGE_AMT,최근6개월_전기차충전_이용금액,N,Int
226,R6M_CONV_AMT,최근6개월_편의점_이용금액,N,Int
227,R6M_M_DEP_AMT,최근6개월_마케팅_백화점_이용금액,N,Int
228,R6M_M_MART_AMT,최근6개월_마케팅_대형마트_이용금액,N,Int
229,R6M_M_S_MART_AMT,최근6개월_마케팅_슈퍼마켓_이용금액,N,Int
230,R6M_M_OUTLET_AMT,최근6개월_마케팅_아울렛_이용금액,N,Int
231,R6M_M_DF_AMT,최근6개월_마케팅_면세점_이용금액,N,Int
232,R6M_M_CONV_AMT,최근6개월_마케팅_편의점_이용금액,N,Int
233,R6M_M_H_SHOP_AMT,최근6개월_마케팅_홈쇼핑_이용금액,N,Int
234,R6M_M_DEP_L_AMT,최근6개월_마케팅_백화점_롯데백화점_이용금액,N,Int
235,R6M_M_DEP_S_AMT,최근6개월_마케팅_백화점_신세계백화점_이용금액,N,Int
236,R6M_M_DEP_H_AMT,최근6개월_마케팅_백화점_현대백화점_이용금액,N,Int
237,R6M_M_DEP_G_AMT,최근6개월_마케팅_백화점_갤러리아백화점_이용금액,N,Int
238,R6M_M_DEP_A_AMT,최근6개월_마케팅_백화점_AK플라자_이용금액,N,Int
239,R6M_M_DEP_I_AMT,최근6개월_마케팅_백화점_아이파크백화점_이용금액,N,Int
240,R6M_M_MART_E_AMT,최근6개월_마케팅_대형마트_이마트_이용금액,N,Int
241,R6M_M_MART_H_AMT,최근6개월_마케팅_대형마트_홈플러스_이용금액,N,Int
242,R6M_M_MART_L_AMT,최근6개월_마케팅_대형마트_롯데마트_이용금액,N,Int
243,R6M_M_MART_N_AMT,최근6개월_마케팅_대형마트_하나로마트_이용금액,N,Int
244,R6M_M_MART_ET_AMT,최근6개월_마케팅_대형마트_이마트트레이더스_이용금액,N,Int
245,R6M_M_MART_V_AMT,최근6개월_마케팅_대형마트_VIC마켓_이용금액,N,Int
246,R6M_MBR_USE_CNT,최근6개월_멤버십사용회수,N,Int
247,R6M_OUTSIDE_WDAY_CNT,최근6개월_평일집직장외방문횟수,N,Int
248,R6M_OUTSIDE_HDAY_CNT,최근6개월_휴일집직장외방문횟수,N,Int
249,R6M_HOME_WDAY_STAY_TIME,최근6개월_평일집근처총체류시간,N,Int
250,R6M_MOV_WDAY_DIST,최근6개월_평일이동총거리,N,Int
251,R9M_FOOD_AMT,최근9개월_요식_이용금액,N,Int
252,R9M_ENT_AMT,최근9개월_유흥_이용금액,N,Int
253,R9M_DEP_AMT,최근9개월_백화점_이용금액,N,Int
254,R9M_MART_AMT,최근9개월_대형할인점_이용금액,N,Int
255,R9M_SSM_AMT,최근9개월_소형유통점_이용금액,N,Int
256,R9M_CLOTHES_AMT,최근9개월_의류/잡화_이용금액,N,Int
257,R9M_CUL_AMT,최근9개월_스포츠/문화/레저_이용금액,N,Int
258,R9M_ACCO_AMT,최근9개월_숙박_이용금액,N,Int
259,R9M_TRAVEL_AMT,최근9개월_여행_이용금액,N,Int
260,R9M_TRANS_AMT,최근9개월_교통_이용금액,N,Int
261,R9M_BEAUTY_AMT,최근9개월_미용_이용금액,N,Int
262,R9M_HOUSEHOLD_AMT,최근9개월_가정생활/서비스_이용금액,N,Int
263,R9M_EDU_AMT,최근9개월_교육/학원_이용금액,N,Int
264,R9M_MED_AMT,최근9개월_의료_이용금액,N,Int
265,R9M_FURN_AMT,최근9개월_가전/가구_이용금액,N,Int
266,R9M_CAR_AMT,최근9개월_자동차판매_이용금액,N,Int
267,R9M_CAR_SERVICE_AMT,최근9개월_자동차서비스/용품_이용금액,N,Int
268,R9M_OIL_AMT,최근9개월_주유_이용금액,N,Int
269,R9M_E_COMM_AMT,최근9개월_전자상거래_이용금액,N,Int
270,R9M_DLV_AMT,최근9개월_배달앱_이용금액,N,Int
271,R9M_HOTEL_AMT,최근9개월_특급호텔_이용금액,N,Int
272,R9M_JJ_AMT,최근9개월_제주도지역_이용금액,N,Int
273,R9M_TRAVEL_OS_AMT,최근9개월_해외여행_이용금액,N,Int
274,R9M_STARBUCKS_AMT,최근9개월_스타벅스_이용금액,N,Int
275,R9M_E_CHARGE_AMT,최근9개월_전기차충전_이용금액,N,Int
276,R9M_CONV_AMT,최근9개월_편의점_이용금액,N,Int
277,R9M_M_DEP_AMT,최근9개월_마케팅_백화점_이용금액,N,Int
278,R9M_M_MART_AMT,최근9개월_마케팅_대형마트_이용금액,N,Int
279,R9M_M_S_MART_AMT,최근9개월_마케팅_슈퍼마켓_이용금액,N,Int
280,R9M_M_OUTLET_AMT,최근9개월_마케팅_아울렛_이용금액,N,Int
281,R9M_M_DF_AMT,최근9개월_마케팅_면세점_이용금액,N,Int
282,R9M_M_CONV_AMT,최근9개월_마케팅_편의점_이용금액,N,Int
283,R9M_M_H_SHOP_AMT,최근9개월_마케팅_홈쇼핑_이용금액,N,Int
284,R9M_M_DEP_L_AMT,최근9개월_마케팅_백화점_롯데백화점_이용금액,N,Int
285,R9M_M_DEP_S_AMT,최근9개월_마케팅_백화점_신세계백화점_이용금액,N,Int
286,R9M_M_DEP_H_AMT,최근9개월_마케팅_백화점_현대백화점_이용금액,N,Int
287,R9M_M_DEP_G_AMT,최근9개월_마케팅_백화점_갤러리아백화점_이용금액,N,Int
288,R9M_M_DEP_A_AMT,최근9개월_마케팅_백화점_AK플라자_이용금액,N,Int
289,R9M_M_DEP_I_AMT,최근9개월_마케팅_백화점_아이파크백화점_이용금액,N,Int
290,R9M_M_MART_E_AMT,최근9개월_마케팅_대형마트_이마트_이용금액,N,Int
291,R9M_M_MART_H_AMT,최근9개월_마케팅_대형마트_홈플러스_이용금액,N,Int
292,R9M_M_MART_L_AMT,최근9개월_마케팅_대형마트_롯데마트_이용금액,N,Int
293,R9M_M_MART_N_AMT,최근9개월_마케팅_대형마트_하나로마트_이용금액,N,Int
294,R9M_M_MART_ET_AMT,최근9개월_마케팅_대형마트_이마트트레이더스_이용금액,N,Int
295,R9M_M_MART_V_AMT,최근9개월_마케팅_대형마트_VIC마켓_이용금액,N,Int
296,R9M_MBR_USE_CNT,최근9개월_멤버십사용회수,N,Int
297,R9M_OUTSIDE_WDAY_CNT,최근9개월_평일집직장외방문횟수,N,Int
298,R9M_OUTSIDE_HDAY_CNT,최근9개월_휴일집직장외방문횟수,N,Int
299,R9M_HOME_WDAY_STAY_TIME,최근9개월_평일집근처총체류시간,N,Int
300,R9M_MOV_WDAY_DIST,최근9개월_평일이동총거리,N,Int
301,R12M_FOOD_AMT,최근12개월_요식_이용금액,N,Int
302,R12M_ENT_AMT,최근12개월_유흥_이용금액,N,Int
